League Name,,defense,possession,creativity,progression,crossing,explosive,attacking,setpiece,gkbuildup,excitement,Cluster,x,y,Distance to 1.Div
Ukrainian Persha Liga,Ukrainian Persha Liga,0.639160148,-0.180019993,-0.52289264,-0.080952436,0.860054206,-0.252380198,-0.244052903,0.487855082,0.103367893,-0.238859925,6,-5.734784,-4.639308,15.41775899
Ukrainian Premier League,Ukrainian Premier League,-0.041959108,0.563736387,-0.098597954,-0.400812585,-0.086229305,-0.244016209,-0.064345709,-0.618249709,0.350351857,-0.079993901,8,4.3376923,-0.4391435,14.80282993
Ukrainian U19 League,,-0.064884533,-0.31945836,-0.178198562,0.773727574,-0.203024921,-0.028973124,0.678212495,0.36254223,1.011634186,0.304201875,13,3.7090428,10.087604,9.062207077
Uruguay Primera Division,Uruguayan Primera División,0.853396196,-1.113371061,-0.502677949,0.072860571,0.831180189,0.125516683,-0.510812737,-0.204659065,-0.905398234,-0.281855835,11,-7.88009,-7.9568014,18.90304319
Uruguay Primera División,Uruguayan Primera División,0.853330067,-1.113270592,-0.502469364,0.07257192,0.83094454,0.125436647,-0.510409418,-0.204742616,-0.905398234,-0.281720487,11,-7.8932304,-7.9455886,18.89371329
Uzbek Super League,Uzbek Super League,-0.117284709,-0.304472447,-0.618469002,-0.72333676,-0.262312145,-0.33981596,-0.772571677,-0.594636257,-0.56812835,-0.625764511,14,0.865494,-9.166055,20.87864707
V.League 1,,-0.353920807,-0.137320136,-0.504509823,-1.544865882,-0.27309271,-1.09387082,-1.071340952,-0.068299033,-0.491033592,-1.00963498,12,1.1798533,-13.7856,25.40609543
Veikkausliiga,Veikkausliiga,-0.318901627,1.366037728,0.426280989,0.426808596,1.149381507,0.160726508,0.647578993,0.061318653,1.244025872,0.456239334,7,-8.247897,11.341512,2.975497773
Victoria NPL,,-0.067953604,-0.0120216,0.279876714,0.491771887,0.19056816,0.842802024,0.492004596,0.357491982,0.537021081,0.357592383,13,1.5170809,9.952228,6.893329832
Welsh Premier League,Welsh Premier League,0.140902546,-2.028977588,0.041806561,1.003047719,1.056741741,-0.478658951,0.391197864,-0.012920148,-1.415332388,0.227017666,21,-11.193565,-5.773322,17.55554199
Western Australia NPL,,-0.588108586,-0.747425521,0.340824996,0.596952465,0.203237336,-0.085772674,0.902485471,0.545967708,-0.353650883,0.16543656,13,4.1069193,11.797859,9.4896194
Ykkonen,Ykkönen,-0.053929058,0.114663344,0.640882656,0.215625468,-0.393855515,0.755744919,0.836395807,0.215100651,-0.210182869,0.521597723,13,1.0390347,12.283872,6.543052034
Ykkosliiga,Ykkösliiga,-0.401950749,0.693902826,0.404100532,0.765710515,-0.270079929,0.050031083,0.925694014,0.359744862,0.460852998,0.434178964,13,-0.863023,11.023198,4.47118255
Ykkönen,Ykkönen,-0.053929058,0.114663344,0.640882656,0.215625468,-0.393855515,0.755744919,0.836395807,0.215100651,-0.210182869,0.521597723,13,1.0390381,12.28386,6.543052639
Ykkösliiga,Ykkösliiga,-0.401950749,0.693902826,0.404100532,0.765710515,-0.270079929,0.050031083,0.925694014,0.359744862,0.460852998,0.434178964,13,-0.863023,11.023198,4.47118255
